Entry_ID;Search_String_ID;Actor_Name;Website_URL;Result_Page_Number;Identification_Method (Google/Directory/Snowball);Preliminary_Relevance (1=Yes,0=No);Notes
;"""Namibia"" AND ""conservation foundation""";AfriCat;https://africat.org/;1;;;
;"""Namibia"" AND ""conservation research institute""";Biodiversity Credit Alliance;https://www.biodiversitycreditalliance.org/governance/;1;;;
;"""Namibia"" AND ""conservation NGO""";Cheetah Conservation Fund;https://cheetah.org/get-involved/visit-ccf/;1;;;
;"""Namibia"" AND ""community conservancy""";Cheetah Conservation Fund;https://cheetah.org/get-involved/visit-ccf/;1;;;
;"""Namibia"" AND ""conservation authority""";Cheetah Conservation Fund;https://cheetah.org/get-involved/visit-ccf/;2;;;
;"""Namibia"" AND ""conservation foundation""";Cheetah Conservation Fund;https://cheetah.org/get-involved/visit-ccf/;1;;;
;"""Namibia"" AND ""conservation NGO""";Conservation Frontlines;https://conservationfrontlines.org/;5;;;
;"""Namibia"" AND ""conservation NGO""";Conservation Namibia;https://conservationnamibia.com/;1;;;no instagram
;"""Namibia"" AND ""environmental NGO""";Conservation Namibia;https://conservationnamibia.com/;1;;;
;"""Namibia"" AND ""biodiversity conservation Namibia""";Conservation Namibia;https://conservationnamibia.com/;1;;;
;"""Namibia"" AND ""community conservancy""";Conservation Namibia;https://conservationnamibia.com/;1;;;
;"""Namibia"" AND ""conservation foundation""";Conservation Namibia;https://conservationnamibia.com/;4;;;
;"""Namibia"" AND ""conservation authority""";Conservation Travel Africa;https://conservationtravelafrica.org/;1;;;
;"""Namibia"" AND ""conservation foundation""";Conservation Travel Fundation;https://conservationtravelfoundation.org/;1;;;
;"""Namibia"" AND ""conservation authority""";Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ);https://www.giz.de/en/regions/africa/namibia;5;;;
;"""Namibia"" AND ""conservation research institute""";Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ);https://www.giz.de/en/regions/africa/namibia;1;;;
;"""Namibia"" AND ""environmental NGO""";Earthlife Namibia (ELN);http://www.ejolt.org/2011/09/eln/;1;;;
;"""Namibia"" AND ""environmental agency""";Environmental Information Service;https://the-eis.com/;1;;;
;"""Namibia"" AND ""environmental NGO""";Environmental Investment Fund (EIF) ;https://www.eif.org.na/;1;;;
;"""Namibia"" AND ""Ministry of Environment""";Environmental Investment Fund (EIF) ;https://www.eif.org.na/;3;;;
;"""Namibia"" AND ""conservation foundation""";Giraffe Conservation Foundation;https://giraffeconservation.org/gcf-volunteering/;4;;;
;"""Namibia"" AND ""conservation foundation""";Grow Nambia Foundation;https://www.grownamibia.com/;1;;;
;"""Namibia"" AND ""wildlife foundation""";Harnas Wildlife Foundation;https://harnas.at/;1;;;
;"""Namibia"" AND ""wildlife conservation organization""";International Fund for Animal Welfare (IFAW);https://www.ifaw.org/international;2;;;
;"""Namibia"" AND ""wildlife conservation organization""";International Rhino Foundation;https://rhinos.org/press-releases/page/2/;3;;;
;"""Namibia"" AND ""wildlife conservation organization""";International Volunteer HQ;https://www.volunteerhq.org/;1;;;
;"""Namibia"" AND ""conservation NGO""";IRDNC;https://irdnc.org.na/;1;;;
;"""Namibia"" AND ""wildlife foundation""";JF Wildlife Foundation;https://jfwildlifefoundation.com/#;1;;;
;"""Namibia"" AND ""conservation foundation""";Lithops Research & Conservation Foundation;https://lithopsfoundation.com/;2;;;
;"""Namibia"" AND ""community conservancy""";Ministry of Environment and Tourism;https://www.meft.gov.na/news/174/Community-Conservancy-Tourism-Website-Launched/;2;;;
;"""Namibia"" AND ""community-based natural resource management""";Ministry of Environment and Tourism;https://www.meft.gov.na;1;;;
;"""Namibia"" AND ""Ministry of Environment""";Ministry of Environment and Tourism;https://www.meft.gov.na;1;;;
;"""Namibia"" AND ""environmental agency""";Ministry of Environment and Tourism;https://www.meft.gov.na;1;;;
;"""Namibia"" AND ""national park management""";Ministry of Environment and Tourism;https://www.meft.gov.na/;1;;;
;"""Namibia"" AND ""conservation authority""";Ministry of Environment and Tourism;https://www.meft.gov.na/;1;;;
;"""Namibia"" AND ""conservation NGO""";Naankuse Foundation;https://www.naankuse.com/;1;;;
;"""Namibia"" AND ""conservation foundation""";Naankuse Foundation;https://www.naankuse.com/;1;;;
;"""Namibia"" AND ""wildlife foundation""";Naankuse Foundation;https://www.naankuse.com/;1;;;
;"""Namibia"" AND ""environmental NGO""";NACSO;https://nacso.org.na/;1;;;
;"""Namibia"" AND ""community conservancy""";NACSO;https://nacso.org.na/;1;;;
;"""Namibia"" AND ""community-based natural resource management""";NACSO;https://nacso.org.na/;1;;;
;"""Namibia"" AND ""conservation authority""";NACSO;https://nacso.org.na/;1;;;
;"""Namibia"" AND ""environmental NGO""";Namibia Nature conservation;https://nnf.org.na/;1;;;
;"""Namibia"" AND ""conservation foundation""";Namibia Nature conservation;https://nnf.org.na/;1;;;
;"""Namibia"" AND ""conservation NGO""";Namibia Nature Foundation;https://nnf.org.na/;1;;;
;"""Namibia"" AND ""wildlife foundation""";Namibia Nature Foundation;https://nnf.org.na/;1;;;
;"""Namibia"" AND ""conservation NGO""";Namibian Chamber of Environment;https://n-c-e.org/;1;;;
;"""Namibia"" AND ""environmental NGO""";Namibian Chamber of Environment;https://n-c-e.org/;1;;;
;"""Namibia"" AND ""Ministry of Environment""";Namibian Chamber of Environment;https://n-c-e.org/;3;;;
;"""Namibia"" AND ""marine conservation Namibia""";Namibian Dolphin Project's post;https://www.facebook.com/NamibianDolphinProject/posts/we-responded-to-two-strandings-in-the-past-week-a-heavisides-dolphin-at-long-bea/3776456275758589/;1;;;
;"""Namibia"" AND ""wildlife foundation""";Namibian Wildlife Foundation;https://namibian-wildlife-foundation.com/;1;;;
;"""Namibia"" AND ""youth conservation Namibia""";Namibian Youth Chamber of Environment ;https://youth.conservationnamibia.com/;1;;;
;"""Namibia"" AND ""conservation NGO""";Nature Needs More;https://natureneedsmore.org/who-we-are/;2;;;
;"""Namibia"" AND ""conservation NGO""";Oxpeckers Center for Investigative Environmental Journalism;https://oxpeckers.org/;4;;;
;"""Namibia"" AND ""community conservancy""";Peaceparks Foundation;https://www.peaceparks.org/;4;;;
;"""Namibia"" AND ""conservation research institute""";PERC;https://www.perc.org/about/;1;;;
